8,8,2.0,0.021523237
0,11,0.0,0.021328896
7,13,0.0,0.021386232
1,0,0.0,0.021684289
8,3,4.0,0.020308174
9,0,1.0,0.021397125
2,2,1.0,0.023356542
0,1,1.0,0.021657191
7,11,3.0,0.023514446
3,0,3.0,0.021594308
2,10,2.0,0.020395234
7,10,2.0,0.02064284
1,11,0.0,0.023289654
1,13,4.0,0.021501154
9,10,2.0,0.021558203
6,7,4.0,0.021695789
4,2,0.0,0.020405613
5,2,0.0,0.021956693
8,2,4.0,0.021668088
7,7,3.0,0.021658696
8,5,4.0,0.021366108
2,1,1.0,0.02342835
9,11,2.0,0.023448467
1,14,3.0,0.020131871
4,9,4.0,0.02052103
9,14,2.0,0.020538513
5,0,1.0,0.023563392
1,5,0.0,0.021706913
4,13,1.0,0.02199328
8,0,1.0,0.021637075
